iter	Passed	Remaining
0	150	45045
1	159	23692
2	165	16411
3	172	12770
4	180	10633
5	186	9134
6	192	8064
7	201	7340
8	208	6746
9	216	6275
10	222	5854
11	230	5522
12	236	5221
13	244	4999
14	251	4786
15	259	4598
16	266	4437
17	274	4293
18	281	4164
19	287	4031
20	295	3925
21	301	3815
22	309	3731
23	316	3640
24	325	3578
25	332	3503
26	340	3441
27	347	3374
28	354	3315
29	361	3252
30	368	3195
31	375	3144
32	382	3091
33	389	3046
34	395	2998
35	403	2959
36	415	2951
37	422	2913
38	429	2873
39	438	2849
40	445	2814
41	451	2774
42	459	2744
43	465	2706
44	474	2688
45	480	2652
46	488	2628
47	494	2594
48	501	2570
49	508	2541
50	514	2513
51	522	2489
52	528	2463
53	536	2443
54	542	2416
55	550	2397
56	556	2372
57	563	2350
58	569	2324
59	575	2301
60	582	2284
61	589	2263
62	596	2243
63	603	2225
64	610	2206
65	617	2189
66	624	2170
67	632	2156
68	638	2136
69	645	2122
70	652	2103
71	658	2085
72	666	2071
73	673	2056
74	681	2043
75	687	2026
76	695	2014
77	702	1998
78	711	1989
79	717	1972
80	725	1961
81	732	1946
82	739	1933
83	746	1919
84	752	1904
85	759	1890
86	766	1875
87	773	1862
88	779	1847
89	785	1833
90	793	1823
91	801	1811
92	807	1798
93	814	1784
94	821	1772
95	827	1758
96	834	1745
97	841	1733
98	847	1721
99	854	1708
100	861	1697
101	869	1687
102	875	1674
103	882	1662
104	889	1651
105	895	1638
106	903	1629
107	909	1617
108	917	1607
109	923	1594
110	931	1585
111	938	1575
112	945	1565
113	953	1554
114	959	1543
115	965	1532
116	974	1524
117	981	1513
118	987	1502
119	995	1492
120	1002	1483
121	1010	1474
122	1016	1463
123	1024	1453
124	1030	1442
125	1036	1431
126	1044	1422
127	1051	1412
128	1058	1402
129	1065	1393
130	1072	1383
131	1079	1374
132	1086	1363
133	1092	1353
134	1098	1342
135	1104	1331
136	1110	1320
137	1115	1309
138	1122	1300
139	1128	1289
140	1134	1279
141	1140	1269
142	1145	1258
143	1152	1248
144	1158	1238
145	1164	1228
146	1170	1218
147	1176	1208
148	1183	1199
149	1188	1188
150	1194	1178
151	1201	1169
152	1206	1159
153	1213	1150
154	1219	1140
155	1224	1130
156	1231	1121
157	1237	1112
158	1243	1102
159	1249	1093
160	1255	1084
161	1262	1075
162	1267	1065
163	1273	1056
164	1280	1047
165	1285	1038
166	1292	1029
167	1298	1020
168	1304	1010
169	1310	1002
170	1316	993
171	1322	984
172	1329	975
173	1335	966
174	1341	958
175	1347	949
176	1353	940
177	1359	931
178	1370	926
179	1378	918
180	1383	909
181	1390	901
182	1396	892
183	1402	884
184	1408	875
185	1414	866
186	1421	859
187	1427	850
188	1434	842
189	1440	834
190	1446	825
191	1454	818
192	1460	809
193	1469	802
194	1475	794
195	1481	786
196	1488	778
197	1495	770
198	1502	762
199	1508	754
200	1515	746
201	1521	738
202	1528	730
203	1534	722
204	1540	713
205	1547	706
206	1553	698
207	1560	690
208	1566	682
209	1573	674
210	1580	666
211	1586	658
212	1592	650
213	1598	642
214	1604	634
215	1611	626
216	1616	618
217	1622	610
218	1629	602
219	1635	594
220	1642	586
221	1647	578
222	1653	570
223	1660	563
224	1666	555
225	1673	547
226	1678	539
227	1684	531
228	1691	524
229	1696	516
230	1702	508
231	1708	500
232	1714	492
233	1721	485
234	1735	480
235	1746	473
236	1754	466
237	1762	459
238	1768	451
239	1776	444
240	1782	436
241	1788	428
242	1794	420
243	1800	413
244	1807	405
245	1812	397
246	1818	390
247	1825	382
248	1830	374
249	1837	367
250	1843	359
251	1848	352
252	1855	344
253	1861	337
254	1866	329
255	1872	321
256	1878	314
257	1885	306
258	1891	299
259	1896	291
260	1903	284
261	1909	276
262	1915	269
263	1922	262
264	1927	254
265	1934	247
266	1940	239
267	1946	232
268	1958	225
269	1968	218
270	1978	211
271	1987	204
272	1994	197
273	2003	190
274	2009	182
275	2015	175
276	2021	167
277	2028	160
278	2034	153
279	2041	145
280	2047	138
281	2053	131
282	2060	123
283	2065	116
284	2071	109
285	2078	101
286	2083	94
287	2089	87
288	2095	79
289	2101	72
290	2108	65
291	2113	57
292	2119	50
293	2126	43
294	2131	36
295	2138	28
296	2144	21
297	2149	14
298	2156	7
299	2162	0
